aadhar_no,holder_name,institute_name,passing_year,total_marks,Grade
102427595357,Hilda Toy,South Pennsylvania University,2021,420,2
144544266723,Pattie Zieme,West Lakin,2006,954,2
163323811023,Mr. Janelle Mertz,The Texas College,2010,588,2
203249753210,Ms. Jacob Hilpert,OKeefe College,2015,878,2
215066055265,Christin Thompson,DuBuque University,2004,329,2
309452684495,Tory Romaguera,Southern North Dakota Institute,2018,428,2
326349845953,Viola Pacocha,South Koss,2019,436,2
329083865264,Marlen Ortiz,Northern Lemke,2017,422,2
340147863175,Curt Littel,Pollich College,2003,587,2
379777599594,Debora Moore Sr.,The Massachusetts University,2018,759,2
382332248492,Sherwood King,North Mississippi Academy,2005,393,2
393503212350,Pattie Moore PhD,South New Mexico Institute,2018,887,2
406245637564,Marguerita Doyle,Eastern South Dakota Academy,2006,374,2
463112865886,Jennie Ryan PhD,Western Toy Academy,2020,574,2
477722876954,Alfonso Fisher,North Missouri Institute,2017,940,2
512842280060,Mr. Loura Jenkins,North Minnesota Academy,2003,470,2
521010324496,Jarrett Cormier,The Kiehn,2021,882,2
545564329238,Dr. Jeanelle Towne,Kozey College,2021,562,2
576887021274,Darleen Fritsch V,Western Upton,2017,562,2
581673261807,Margery Abshire,Eastern Colorado Institute,2002,322,2
621971957023,Calandra Altenwerth,South Ruecker Academy,2010,614,2
656740886780,Patricia Price,East New Hampshire College,2005,426,2
660085938419,Marion Sanford,West Georgia Institute,2015,460,2
668235258920,Israel Russel,The Watsica College,2014,734,2
673405868867,Patty Nienow,The Louisiana College,2008,327,2
744298905242,Launa OKeefe,Western Hudson,2018,304,2
765801325568,Tracy Strosin DDS,Raynor University,2010,573,2
813113249522,Seymour Kunze,East Delaware Academy,2015,362,2
838202635432,Napoleon Kling,The Herzog Academy,2013,955,2
995763034118,Dr. Ilse Klocko,Southern Schaden,2012,551,2
