aadhar_no,holder_name,cast
102427595357,"Hilda Toy",SC
144544266723,"Pattie Zieme",ST
163323811023,"Mr. Janelle Mertz",OBC
203249753210,"Ms. Jacob Hilpert",OBC
215066055265,"Christin Thompson",SC
309452684495,"Tory Romaguera",OBC
326349845953,"Viola Pacocha",SC
329083865264,"Marlen Ortiz",OBC
340147863175,"Curt Littel",ST
379777599594,"Debora Moore Sr.",ST
382332248492,"Sherwood King",SC
393503212350,"Pattie Moore PhD",ST
406245637564,"Marguerita Doyle",SC
463112865886,"Jennie Ryan PhD",ST
477722876954,"Alfonso Fisher",ST
512842280060,"Mr. Loura Jenkins",SC
521010324496,"Jarrett Cormier",ST
545564329238,"Dr. Jeanelle Towne",SC
576887021274,"Darleen Fritsch V",SC
581673261807,"Margery Abshire",ST
621971957023,"Calandra Altenwerth",OBC
656740886780,"Patricia Price",OBC
660085938419,"Marion Sanford",OBC
668235258920,"Israel Russel",SC
673405868867,"Patty Nienow",OBC
744298905242,"Launa OKeefe",ST
765801325568,"Tracy Strosin DDS",ST
813113249522,"Seymour Kunze",ST
838202635432,"Napoleon Kling",ST
995763034118,"Dr. Ilse Klocko",ST
