aadhar_no,holder_name,city,state
102427595357,"Hilda Toy",Jaisalmer,Rajasthan
144544266723,"Pattie Zieme",Malappuram,Kerala
163323811023,"Mr. Janelle Mertz",Ranchi,Jharkhand
203249753210,"Ms. Jacob Hilpert",Rishikesh,Uttarakhand
215066055265,"Christin Thompson",Warangal,Telangana
309452684495,"Tory Romaguera",Shimla,"Himachal Pradesh"
326349845953,"Viola Pacocha",Agartala,Tripura
329083865264,"Marlen Ortiz",Patiala,Punjab
340147863175,"Curt Littel",Ujjain,"Madhya Pradesh"
379777599594,"Debora Moore Sr.",Bhuj,Gujarat
382332248492,"Sherwood King",Kanpur,"Uttar Pradesh"
393503212350,"Pattie Moore PhD",Siliguri,"West Bengal"
406245637564,"Marguerita Doyle",Panaji,Goa
463112865886,"Jennie Ryan PhD",Imphal,Manipur
477722876954,"Alfonso Fisher",Nanded,Maharashtra
512842280060,"Mr. Loura Jenkins",Tiruchirapalli,"Tamil Nadu "
521010324496,"Jarrett Cormier",Aizwal,Mizoram
545564329238,"Dr. Jeanelle Towne",Mysuru,Karnataka
576887021274,"Darleen Fritsch V",Srinagar,"Jammu and Kashmir"
581673261807,"Margery Abshire",Bhubaneshwar,Odisha
621971957023,"Calandra Altenwerth",Shillong,Meghalaya
656740886780,"Patricia Price",Dehradun,Uttarakhand
660085938419,"Marion Sanford",Itanagar,"Arunachal Pradesh"
668235258920,"Israel Russel",Amritsar,Punjab
673405868867,"Patty Nienow",Kohima,Nagaland
744298905242,"Launa OKeefe",Raipur,Chhattisgarh
765801325568,"Tracy Strosin DDS",Indore,"Madhya Pradesh"
813113249522,"Seymour Kunze",Gwalior,"Madhya Pradesh"
838202635432,"Napoleon Kling",Ajmer,Rajasthan
995763034118,"Dr. Ilse Klocko",Kanpur,"Uttar Pradesh"
