aadhar_no,holder_name,income,year
102427595357,"Hilda Toy",310513,2017
144544266723,"Pattie Zieme",272517,2018
163323811023,"Mr. Janelle Mertz",132413,2011
203249753210,"Ms. Jacob Hilpert",215320,2016
215066055265,"Christin Thompson",492493,2002
309452684495,"Tory Romaguera",389168,2002
326349845953,"Viola Pacocha",142354,2007
329083865264,"Marlen Ortiz",498807,2014
340147863175,"Curt Littel",133385,2007
379777599594,"Debora Moore Sr.",276729,2012
382332248492,"Sherwood King",143982,2016
393503212350,"Pattie Moore PhD",310878,2012
406245637564,"Marguerita Doyle",48946,2013
463112865886,"Jennie Ryan PhD",129204,2015
477722876954,"Alfonso Fisher",403319,2007
512842280060,"Mr. Loura Jenkins",143841,2002
521010324496,"Jarrett Cormier",387202,2017
545564329238,"Dr. Jeanelle Towne",363719,2006
576887021274,"Darleen Fritsch V",88270,2018
581673261807,"Margery Abshire",36427,2001
621971957023,"Calandra Altenwerth",12869,2001
656740886780,"Patricia Price",154289,2004
660085938419,"Marion Sanford",346668,2000
668235258920,"Israel Russel",65228,2012
673405868867,"Patty Nienow",177404,2007
744298905242,"Launa OKeefe",119717,2012
765801325568,"Tracy Strosin DDS",103329,2010
813113249522,"Seymour Kunze",137346,2012
838202635432,"Napoleon Kling",338460,2008
995763034118,"Dr. Ilse Klocko",112171,2011
